gen,nevals,avg,max
0,50,0.922844733984799,0.9348534201954397
1,42,0.9284039087947882,0.9359391965255157
2,36,0.9319218241042344,0.9359391965255157
3,39,0.934158523344191,0.9359391965255157
4,27,0.9344625407166123,0.9359391965255157
5,42,0.9342236699239956,0.9359391965255157
6,39,0.9335504885993485,0.9359391965255157
7,41,0.9345494028230185,0.9359391965255157
8,30,0.9350922909880564,0.9359391965255157
9,32,0.9356134636264929,0.9359391965255157
10,37,0.934701411509229,0.9359391965255157
11,39,0.933615635179153,0.9359391965255157
12,32,0.9348751357220412,0.9359391965255157
13,40,0.9354397394136807,0.9359391965255157
14,36,0.9344842562432139,0.9359391965255157
15,37,0.933745928338762,0.9359391965255157
16,37,0.9349619978284471,0.9359391965255157
17,43,0.935874049945711,0.9359391965255157
18,33,0.9345276872964169,0.9359391965255157
19,44,0.9347231270358304,0.9359391965255157
20,32,0.9333116178067317,0.9359391965255157
21,36,0.9338110749185669,0.9359391965255157
22,37,0.9343322475570033,0.9359391965255157
23,34,0.9340282301845819,0.9359391965255157
24,44,0.934158523344191,0.9359391965255157
25,36,0.9343105320304016,0.9359391965255157
26,34,0.9343105320304016,0.9359391965255157
27,41,0.9357871878393049,0.9359391965255157
28,33,0.9334636264929423,0.9359391965255157
29,37,0.9325732899022801,0.9359391965255157
30,35,0.9333984799131377,0.9359391965255157
31,41,0.9340282301845819,0.9359391965255157
32,46,0.934614549402823,0.9359391965255157
33,41,0.9344191096634095,0.9359391965255157
34,35,0.9343756786102062,0.9359391965255157
35,38,0.9352225841476656,0.9359391965255157
36,37,0.9344625407166123,0.9359391965255157
37,39,0.9350054288816503,0.9359391965255157
38,38,0.934158523344191,0.9359391965255157
39,39,0.9345928338762215,0.9359391965255157
40,41,0.9339847991313789,0.9359391965255157
41,43,0.9342888165038002,0.9359391965255157
42,42,0.9346362649294244,0.9359391965255157
43,37,0.9351791530944624,0.9359391965255157
44,36,0.9348317046688382,0.9359391965255157
45,44,0.9345711183496199,0.9359391965255157
46,35,0.9338110749185666,0.9359391965255157
47,33,0.9340065146579803,0.9359391965255157
48,38,0.9354397394136807,0.9359391965255157
49,46,0.9344842562432137,0.9359391965255157
50,44,0.9339196525515743,0.9359391965255157
