gen,nevals,avg,max
0,100,0.9157980456026056,0.9196525515743756
1,85,0.9182844733984799,0.9196525515743756
2,89,0.9185993485342019,0.9196525515743756
3,83,0.9189142236699237,0.9196525515743756
4,79,0.9187622149837134,0.9196525515743756
5,87,0.9188273615635179,0.9196525515743756
6,86,0.9184907709011942,0.9196525515743756
7,82,0.9185016286644949,0.9196525515743756
8,85,0.9191965255157437,0.9196525515743756
9,82,0.9184690553745928,0.9196525515743756
10,88,0.9186644951140066,0.9196525515743756
11,87,0.9186319218241042,0.9196525515743756
12,88,0.9189359391965255,0.9196525515743756
13,82,0.9182953311617805,0.9196525515743756
14,82,0.9188490770901194,0.9196525515743756
15,88,0.9182627578718784,0.9196525515743756
16,84,0.919098805646037,0.9196525515743756
17,82,0.9182193268186754,0.9196525515743756
18,85,0.9190119435396307,0.9196525515743756
19,80,0.9185342019543974,0.9196525515743756
20,78,0.9190010857763299,0.9196525515743756
21,83,0.9188707926167209,0.9196525515743756
22,88,0.9186210640608035,0.9196525515743756
23,89,0.9187404994571118,0.9196525515743756
24,84,0.9190336590662322,0.9196525515743756
25,83,0.9191313789359392,0.9196525515743756
26,90,0.9183170466883823,0.9196525515743756
27,83,0.9189033659066231,0.9196525515743756
28,83,0.9190010857763302,0.9196525515743756
29,82,0.9186102062975027,0.9196525515743756
30,82,0.919044516829533,0.9196525515743756
31,86,0.9190988056460369,0.9196525515743756
32,81,0.9187513572204127,0.9196525515743756
33,82,0.9189467969598263,0.9196525515743756
34,85,0.918870792616721,0.9196525515743756
35,81,0.9184364820846905,0.9196525515743756
36,81,0.9192073832790445,0.9196525515743756
37,85,0.9188273615635179,0.9196525515743756
38,87,0.9186753528773073,0.9196525515743756
39,88,0.9187296416938109,0.9196525515743756
40,92,0.9188816503800217,0.9196525515743756
41,84,0.9188273615635179,0.9196525515743756
42,79,0.9190119435396308,0.9196525515743756
43,81,0.9187513572204128,0.9196525515743756
44,79,0.9188056460369164,0.9196525515743756
45,75,0.9182410423452768,0.9196525515743756
46,86,0.9189359391965253,0.9196525515743756
47,85,0.9186644951140065,0.9196525515743756
48,87,0.9183821932681869,0.9196525515743756
49,80,0.9188925081433226,0.9196525515743756
50,85,0.9190119435396308,0.9196525515743756
