gen,nevals,avg,max
0,100,0.8732464712269273,0.9142236699239956
1,74,0.8872964169381106,0.9239956568946797
2,72,0.8958523344191096,0.9239956568946797
3,69,0.9045276872964169,0.9239956568946797
4,78,0.9084256243213897,0.9196525515743756
5,78,0.9118566775244298,0.9218241042345277
6,71,0.9146688382193267,0.9261672095548317
7,78,0.9157871878393048,0.9261672095548317
8,82,0.9169598262757872,0.9261672095548317
9,78,0.9184690553745928,0.9283387622149837
10,83,0.9185016286644953,0.9272529858849077
11,68,0.9219001085776329,0.9294245385450597
12,76,0.923615635179153,0.9305103148751357
13,76,0.9250597176981539,0.9305103148751357
14,78,0.9263952225841474,0.9326818675352877
15,80,0.9266232356134637,0.9326818675352877
16,75,0.9271878393051032,0.9315960912052117
17,70,0.9276764386536372,0.9315960912052117
18,81,0.9280021715526601,0.9326818675352877
19,87,0.9281541802388708,0.9326818675352877
20,81,0.9291748099891421,0.9326818675352877
21,77,0.9287839305103147,0.9326818675352877
22,67,0.9297719869706839,0.9326818675352877
23,69,0.9299999999999998,0.9326818675352877
24,79,0.9313355048859936,0.9326818675352877
25,86,0.9305646036916394,0.9348534201954397
26,71,0.9308686210640609,0.9348534201954397
27,76,0.930955483170467,0.9348534201954397
28,88,0.9307383279044518,0.9348534201954397
29,77,0.9313572204125949,0.9348534201954397
30,79,0.9316938110749186,0.9348534201954397
31,80,0.9323344191096632,0.9348534201954397
32,81,0.9322041259500543,0.9348534201954397
33,77,0.9319326818675351,0.9348534201954397
34,76,0.9322149837133549,0.9348534201954397
35,78,0.9319326818675353,0.9348534201954397
36,72,0.9328447339847991,0.9348534201954397
37,69,0.9330293159609119,0.9348534201954397
38,77,0.9333333333333331,0.9348534201954397
39,79,0.9318241042345277,0.9348534201954397
40,78,0.9336699239956567,0.9348534201954397
41,77,0.9326058631921823,0.9348534201954397
42,78,0.9314549402823019,0.9348534201954397
43,80,0.9319543973941368,0.9348534201954397
44,75,0.9333007600434309,0.9348534201954397
45,78,0.9328664495114006,0.9348534201954397
46,78,0.9338653637350706,0.9348534201954397
47,87,0.9324864277958739,0.9348534201954397
48,71,0.9337024972855591,0.9348534201954397
49,73,0.9333550488599349,0.9348534201954397
50,68,0.9331921824104233,0.9348534201954397
